GEOID,neighborhood_name,borough,area_sqmi
QN1403,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,Queens,2.483410020810704
QN1491,Rockaway Community Park,Queens,0.3203096958576598
QN8081,LaGuardia Airport,Queens,1.0973352283698543
QN8191,Flushing Meadows-Corona Park,Queens,1.980305709490078
QN8291,Forest Park,Queens,0.8612334041707504
QN8381,John F. Kennedy International Airport,Queens,7.07320953290804
QN8491,Jamaica Bay (East),Queens,2.5080476741765936
QN8492,Jacob Riis Park-Fort Tilden-Breezy Point Tip,Queens,1.8880164787825462
SI0101,St. George-New Brighton,Staten Island,0.9508761311913765
SI0102,Tompkinsville-Stapleton-Clifton-Fox Hills,Staten Island,0.8695430362129598
SI0103,Rosebank-Shore Acres-Park Hill,Staten Island,1.2644608525682237
SI0104,West New Brighton-Silver Lake-Grymes Hill,Staten Island,3.061827719917497
SI0105,Westerleigh-Castleton Corners,Staten Island,2.7451078675237954
SI0106,Port Richmond,Staten Island,1.299821231462575
SI0107,Mariner's Harbor-Arlington-Graniteville,Staten Island,3.2063981293746555
SI0191,Snug Harbor,Staten Island,0.13517113150806265
SI0201,Grasmere-Arrochar-South Beach-Dongan Hills,Staten Island,2.8736589783371276
SI0202,New Dorp-Midland Beach,Staten Island,2.2303830795634507
SI0203,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,Staten Island,6.6829991677045895
SI0204,New Springville-Willowbrook-Bulls Head-Travis,Staten Island,7.5106532903986745
SI0291,Freshkills Park (North),Staten Island,2.44563961393594
SI0301,Oakwood-Richmondtown,Staten Island,2.0064805223352624
SI0302,Great Kills-Eltingville,Staten Island,4.187705431493412
SI0303,Arden Heights-Rossville,Staten Island,2.4310593671427614
SI0304,Annadale-Huguenot-Prince's Bay-Woodrow,Staten Island,6.471949014500909
SI0305,Tottenville-Charleston,Staten Island,4.547396605710859
SI0391,Freshkills Park (South),Staten Island,1.713106672754215
SI9561,Fort Wadsworth,Staten Island,0.353936646065785
SI9591,Hoffman & Swinburne Islands,Staten Island,0.02280266753660097
SI9592,Miller Field,Staten Island,0.3897929593672188
SI9593,Great Kills Park,Staten Island,0.8385975368952712
