Facility name,Address,Borough,ZIP Code,Accessible,Facility type,latitude,longitude
Arturo Schomburg OAC -OLDER ADULTS ONLY,1315 Franklin Av,Bronx,10456,Yes,Older Adult Center,40.8322247,-73.9017218
Avis South Shore OAC -OLDER ADULTS ONLY,1297 Arthur Kill Rd,Staten Island,10312,Yes,Older Adult Center,40.565406,-74.1836692
PSS Harlem OAC -OLDER ADULTS ONLY,127 West 127th Street,Manhattan,10027,Yes,Older Adult Center,40.8095378,-73.9453852
CASC Cassidy Coles OAC -OLDER ADULTS ONLY,125 Cassidy Pl,Staten Island,10301,Yes,Older Adult Center,40.6421475,-74.096366
RAIN Eastchester Latin Soul Café OAC -OLDER ADULTS ONLY,1246 Burke Av,Bronx,10469,Yes,Older Adult Center,40.8705699,-73.8510173
Allen AME Rockaway Blvd OAC -OLDER ADULTS ONLY,123-10 143 St,Queens,11436,Yes,Older Adult Center,,
JASA Bay Eden OAC -OLDER ADULTS ONLY,1220 E 229 St,Bronx,10466,Yes,Older Adult Center,,
UJCES Lillian Wald OAC Center -OLDER ADULTS ONLY,12 Avenue D,Manhattan,10009,Yes,Older Adult Center,40.7202373,-73.9781812
PSS Highbridge OAC -OLDER ADULTS ONLY,1181 Nelson Av,Bronx,10452,Yes,Older Adult Center,40.8373512,-73.9260508
PSS Highbridge Gardens OAC -OLDER ADULTS ONLY,1145 University Ave,Bronx,10452,Yes,Older Adult Center,40.8379313,-73.9287467
Great Kills Friendship Club NSC -OLDER ADULTS ONLY,11 Sampson Av,Staten Island,10308,Yes,Older Adult Center,40.5525121,-74.1496383
QCH Forest Hills OAC -OLDER ADULTS ONLY,108-25 62 Dr,Queens,11375,Yes,Older Adult Center,,
ARC XVI A Philip Randolph Center (ARC Ft Washington AOC) -OLDER ADULTS ONLY,108 W 146 St,Manhattan,10039,Yes,Older Adult Center,40.8121344,-73.947926
JASA Rockaway Park OAC -OLDER ADULTS ONLY,106-20 Shore Front Pkwy,Queens,11694,Yes,Older Adult Center,40.5813701,-73.8271074
Bergen Basin Abe Stark Older Adult Center -OLDER ADULTS ONLY,10315 Farragut Rd,Brooklyn,11236,Yes,Older Adult Center,40.6499972,-73.8993586
Queensbridge Center OAC -OLDER ADULTS ONLY,10-25 41St Avenue,Queens,11101,Yes,Older Adult Center,40.7555491,-73.9445539
Florence E Smith OAC -OLDER ADULTS ONLY,102-19 34 Av,Queens,11368,Yes,Older Adult Center,,
St Nicks Alliance Cooper Park Social -OLDER ADULTS ONLY,288 Frost Street,Brooklyn,11211,No,Older Adult Center,40.7187101,-73.9397082
Golden Phoenix 3 (Elmcor Lefrak NSC) -OLDER ADULTS ONLY,96-05 Horace Harding Expwy,Queens,11368,Yes,Older Adult Center,40.7349322,-73.8635554
Golden Phoenix 2 (Elmcor Lefrak NSC) -OLDER ADULTS ONLY,95-18 Northern Blvd,Queens,11368,Yes,Older Adult Center,40.7519524,-73.9322794
Italian Senior Citizens Center Inc OAC -OLDER ADULTS ONLY,83-20 Queens Blvd,Queens,11373,Yes,Older Adult Center,40.7388915,-73.8875292
"Ridgewood Older Adult Center And Services, Inc OAC -OLDER ADULTS ONLY",59-14 70 Av,Queens,11385,Yes,Older Adult Center,,
Golden Phoenix 4 (Elmcor Lefrak NSC) -OLDER ADULTS ONLY,33-16 108th St.,Queens,11369,Yes,Older Adult Center,40.7572084,-73.8612603
St Nicks Alliance Swinging Sixties OAC -OLDER ADULTS ONLY,211 Ainslie Street,Brooklyn,11211,Yes,Older Adult Center,40.7131321,-73.9455453
"Southside Los Sures ""David Santiago"" OAC -OLDER ADULTS ONLY",201 South 4 St,Brooklyn,11211,Yes,Older Adult Center,,
Polish & Slavic Ctr Krakus OAC -OLDER ADULTS ONLY,176 Java St,Brooklyn,11222,Yes,Older Adult Center,40.7315326,-73.9535151
JCCGCI Midwood OAC -OLDER ADULTS ONLY,1625 Ocean Avenue,Brooklyn,11230,Yes,Older Adult Center,40.6222973,-73.9553498
Peter Cardella OAC -OLDER ADULTS ONLY,68-52 Fresh Pond Rd,Queens,11385,Yes,Older Adult Center,40.7036267,-73.8960118
BRC OAC -OLDER ADULTS ONLY,30 Delancey St,Manhattan,10002,Yes,Older Adult Center,40.72044,-73.9922974
HANAC Angelo Petromelis Older Adult Center -OLDER ADULTS ONLY,13-28 123 St,Queens,11356,Yes,Older Adult Center,,
CCNS Northside OAC -OLDER ADULTS ONLY,179 North 6 St,Brooklyn,11211,No,Older Adult Center,,
Anderson Neighborhood OAC -OLDER ADULTS ONLY,120 Anderson Av,Staten Island,10302,Yes,Older Adult Center,40.6346889,-74.1345131
YMCA - Glebe Older Adult Community Hub -OLDER ADULTS ONLY,2125 Glebe Avenue,Bronx,10462,No,Older Adult Center,40.8351618,-73.8506018
PSS City Island OAC -OLDER ADULTS ONLY,116 City Island Avenue,Bronx,10464,Yes,Older Adult Center,40.8409852,-73.7837999
Homecrest Bensonhurtst OAC & Ave T Brooklyn -OLDER ADULTS ONLY,7907 New Utrecht Av,Brooklyn,11214,Yes,Older Adult Center,40.6122059,-74.0006841
Office of NYS Senator Jabari Brisport,906 Broadway 2nd Floor,Brooklyn,11206,Yes,Other,,
