geoid,in_nyc,wbgt,svi,svi_heat,gi_count,indoor_count,gi_density,indoor_density,gi_s,indoor_s,adaptive_score,wbgt_s,svi_s,adaptive_vuln_s,chvi,chvi_class,area_sqmi,rpl_theme1,rpl_theme2,rpl_theme3,rpl_theme4
QN0191,True,17.47328690158295,0.6223753093189037,0.5778727879359461,2.0,0.0,20.84408188951622,0.0,0.030134429569386507,0.0,0.015067214784693254,0.7399517015538166,0.425192468867705,0.9725059970817533,0.712550055834425,High,0.09595049619364256,0.6477497376603915,0.536857628067585,0.7565956399337664,0.5482982316138721
QN0201,True,17.522043954311975,0.6223753093189037,0.5778727879359461,5.0,1.0,5.051284699433021,1.0102569398866041,0.007302676309602472,0.05748040312932895,0.03239153971946571,0.7844646485001946,0.425192468867705,0.940893317026434,0.7168501447981113,High,0.9898471968054429,0.6477497376603915,0.536857628067585,0.7565956399337664,0.5482982316138721
QN0202,True,17.44439855472454,0.6223753093189037,0.5778727879359461,331.0,2.0,193.44674783533952,1.168862524684831,0.27966726617989734,0.0665045558897033,0.1730859110348003,0.7135779693632451,0.425192468867705,0.6841603036061681,0.6076435806123728,Low,1.7110652089211902,0.6477497376603915,0.536857628067585,0.7565956399337664,0.5482982316138721
QN0203,True,17.37263237062257,0.6223753093189037,0.5778727879359461,185.0,1.0,156.52510635951433,0.8460816559973747,0.22628940043667187,0.04813935222510634,0.1372143763308891,0.6480587435964825,0.425192468867705,0.7496171311568878,0.6076227812070251,Low,1.1819190179949994,0.6477497376603915,0.536857628067585,0.7565956399337664,0.5482982316138721
QN0261,True,17.463409931612592,0.6223753093189037,0.5778727879359461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7309344821840388,0.425192468867705,1.0,0.7187089836839146,High,0.315065408901229,0.6477497376603915,0.536857628067585,0.7565956399337664,0.5482982316138721
QN0271,True,17.38025054208322,0.6223753093189037,0.5778727879359461,13.0,0.0,25.35858080754239,0.0,0.03666107105963871,0.0,0.018330535529819354,0.6550137838024825,0.425192468867705,0.9665512303002498,0.6822524943234791,High,0.512646985202477,0.6477497376603915,0.536857628067585,0.7565956399337664,0.5482982316138721
QN0301,True,17.37119118142942,0.6223753093189037,0.5778727879359461,169.0,1.0,119.83437618175343,0.7090791490044582,0.17324536471221036,0.04034434580568449,0.10679485525894743,0.6467430041392429,0.425192468867705,0.8051253596566419,0.6256869442211966,Moderate,1.410279799376406,0.6477497376603915,0.536857628067585,0.7565956399337664,0.5482982316138721
QN0302,True,17.35487494334431,0.6223753093189037,0.5778727879359461,147.0,3.0,142.47431324177646,2.90763904575054,0.20597607419640926,0.16543540351534536,0.18570573885587732,0.6318470291039304,0.425192468867705,0.6611321867379498,0.5727238949031951,Low,1.0317649312023252,0.6477497376603915,0.536857628067585,0.7565956399337664,0.5482982316138721
QN0303,True,17.33459771013504,0.6223753093189037,0.5778727879359461,60.0,1.0,119.80897692459499,1.996816282076583,0.17320864483507628,0.11361248840503188,0.14341056662005408,0.6133348476749194,0.425192468867705,0.7383105906763352,0.5922793024063199,Low,0.5007971985084442,0.6477497376603915,0.536857628067585,0.7565956399337664,0.5482982316138721
QN0401,True,17.354251014950798,0.6223753093189037,0.5778727879359461,272.0,4.0,180.10780754886565,2.6486442286597893,0.26038307037201336,0.1506994230859962,0.20554124672900478,0.631277411173308,0.425192468867705,0.6249372084926874,0.5604690295112335,Low,1.5102066018220934,0.6477497376603915,0.536857628067585,0.7565956399337664,0.5482982316138721
QN0402,True,17.35957740808094,0.6223753093189037,0.5778727879359461,134.0,2.0,155.487587830004,2.320710266119463,0.22478945291102972,0.13204102478909166,0.1784152388500607,0.6361401631557816,0.425192468867705,0.6744355763358092,0.5785894027864319,Low,0.861805124576911,0.6477497376603915,0.536857628067585,0.7565956399337664,0.5482982316138721
QN0501,True,17.36914051860711,0.6223753093189037,0.5778727879359461,265.0,2.0,126.68825513126227,0.9561377745755643,0.18315406366934484,0.054401194943488086,0.11877762930641646,0.6448708432865006,0.425192468867705,0.7832597110057383,0.6177743410533146,Moderate,2.091748755442502,0.6477497376603915,0.536857628067585,0.7565956399337664,0.5482982316138721
QN0502,True,17.359974451243968,0.6223753093189037,0.5778727879359461,85.0,2.0,55.692438406662234,1.310410315450876,0.08051493328459143,0.07455817448321815,0.07753655388390479,0.636502645304763,0.425192468867705,0.8585146445963892,0.640069919589619,Moderate,1.5262395117149663,0.6477497376603915,0.536857628067585,0.7565956399337664,0.5482982316138721
QN0503,True,17.324306331701408,0.6223753093189037,0.5778727879359461,51.0,0.0,47.383053514841464,0.0,0.06850199958404604,0.0,0.03425099979202302,0.6039392924356131,0.425192468867705,0.9375002545798038,0.6555440052943741,Moderate,1.0763341789280343,0.6477497376603915,0.536857628067585,0.7565956399337664,0.5482982316138721
QN0504,True,17.321034964447016,0.6223753093189037,0.5778727879359461,107.0,1.0,85.36651988862448,0.7978179428843409,0.12341495273347788,0.04539330062503828,0.08440412667925809,0.6009526845730303,0.425192468867705,0.8459829943096664,0.6240427159168006,Moderate,1.2534187892349387,0.6477497376603915,0.536857628067585,0.7565956399337664,0.5482982316138721
QN0571,True,17.31543145917496,0.6223753093189037,0.5778727879359461,2.0,0.0,7.291525867476668,0.0,0.010541408053925814,0.0,0.005270704026962907,0.5958369419485733,0.425192468867705,0.990382246887079,0.6704705525677858,High,0.27429101073629286,0.6477497376603915,0.536857628067585,0.7565956399337664,0.5482982316138721
QN0572,True,17.31125634385934,0.6223753093189037,0.5778727879359461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.592025253666839,0.425192468867705,1.0,0.6724059075115146,High,0.1976975528569409,0.6477497376603915,0.536857628067585,0.7565956399337664,0.5482982316138721
QN0573,True,17.32976486860388,0.6223753093189037,0.5778727879359461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6089226856053155,0.425192468867705,1.0,0.6780383848243402,High,0.31401075307909826,0.6477497376603915,0.536857628067585,0.7565956399337664,0.5482982316138721
