geoid,borough,wbgt,svi,adaptive_score,chvi,chvi_class
MN0101,Manhattan,17.596109816534803,0.5665199138619197,0.08249925993894086,0.6577895034121001,Moderate
MN0102,Manhattan,17.60619886554188,0.5665199138619197,0.08282616878654299,0.6606441020240853,Moderate
MN0191,Manhattan,17.5712241300689,0.5665199138619197,0.0011201887047839912,0.7039068142543637,High
MN0201,Manhattan,17.587154776070474,0.5665199138619197,0.12384117042304287,0.6277886773507141,Moderate
MN0202,Manhattan,17.571007744830297,0.5665199138619197,0.05368020914473801,0.6691640832797562,High
MN0203,Manhattan,17.60722258369909,0.5665199138619197,0.18430418266483997,0.5940047313450114,Low
MN0301,Manhattan,17.585107047259395,0.5665199138619197,0.19372106669857148,0.581061713169167,Low
MN0302,Manhattan,17.57366706243756,0.5665199138619197,0.5052359463279005,0.3720559624083492,Very Low
MN0303,Manhattan,17.579149621817702,0.5665199138619197,0.15835926575767337,0.602578983724214,Low
MN0401,Manhattan,17.589236764895208,0.5665199138619197,0.02234709066322918,0.695383770170389,High
MN0402,Manhattan,17.5663949256752,0.5665199138619197,0.09067411346922556,0.6433533041209166,Moderate
MN0501,Manhattan,17.55450586744288,0.5665199138619197,0.03914702082636099,0.6737306485735207,High
MN0502,Manhattan,17.505587541441447,0.5665199138619197,0.13303824354627333,0.5968984589822298,Low
MN0601,Manhattan,17.58220675968329,0.5665199138619197,0.0024095620686401266,0.706398352105627,High
MN0602,Manhattan,17.565648025334106,0.5665199138619197,0.2810155527410038,0.5175467683783864,Very Low
MN0603,Manhattan,17.557224819872747,0.5665199138619197,0.07130961573051281,0.6533385533648285,Moderate
MN0604,Manhattan,17.502904132522346,0.5665199138619197,0.12175485566983608,0.6035261519813284,Low
MN0661,Manhattan,17.53494045201668,0.5665199138619197,0.0,0.693604090945034,High
MN0701,Manhattan,17.525333291733308,0.5665199138619197,0.10295981962970724,0.6227519197201118,Low
MN0702,Manhattan,17.484268300309015,0.5665199138619197,0.08640193259370955,0.621179297849782,Low
MN0703,Manhattan,17.489982663006497,0.5665199138619197,0.08417895542614352,0.6243849077256355,Low
MN0801,Manhattan,17.494669660456704,0.5665199138619197,0.17338702330705255,0.5669555309066403,Very Low
MN0802,Manhattan,17.451800286486396,0.5665199138619197,0.05270083547246943,0.6335332568332942,Moderate
MN0803,Manhattan,17.49155053754014,0.5665199138619197,0.03973372544940785,0.6541851252928385,Moderate
MN0901,Manhattan,17.515556704669045,0.5665199138619197,0.1353547497537199,0.5984039219069975,Low
MN0902,Manhattan,17.495180138586363,0.5665199138619197,0.0025030102250661146,0.6798529313064711,High
MN0903,Manhattan,17.472288310956113,0.5665199138619197,0.001681057482626534,0.6734288257026972,High
MN1001,Manhattan,17.503544655206646,0.5665199138619197,0.19535770793055693,0.5551610220498234,Very Low
MN1002,Manhattan,17.488319738415004,0.5665199138619197,0.33954448898386685,0.4553994588908236,Very Low
MN1101,Manhattan,17.495228669950386,0.5665199138619197,0.2042023567803534,0.546794992350256,Very Low
MN1102,Manhattan,17.527328320167324,0.5665199138619197,0.0077153609443488536,0.6861973129620157,High
MN1191,Manhattan,17.506130928941005,0.5665199138619197,0.004580019786719398,0.6818151308086963,High
MN1201,Manhattan,17.444393185364458,0.5665199138619197,0.07607243416829872,0.615859549132596,Low
MN1202,Manhattan,17.472780395405803,0.5665199138619197,0.06402821918870628,0.6324445524671299,Moderate
MN1203,Manhattan,17.508874026733068,0.5665199138619197,0.07417731016368244,0.6367325528509575,Moderate
MN1291,Manhattan,17.41394520386738,0.5665199138619197,0.005199527562144619,0.6533526298705173,Moderate
MN1292,Manhattan,17.543231450374567,0.5665199138619197,0.0,0.6961271910189738,High
MN6491,Manhattan,17.455315684778274,0.5665199138619197,0.014151170111326808,0.660036496472908,Moderate
QN0101,Queens,17.43942004722004,0.6223753093189037,0.011373225136097773,0.7039048564673774,High
QN0102,Queens,17.49490389352707,0.6223753093189037,0.05251698206404152,0.6936446771728839,High
QN0103,Queens,17.448150527908155,0.6223753093189037,0.02507636668760288,0.6975209450303085,High
QN0104,Queens,17.41398125718909,0.6223753093189037,0.04919248305234228,0.6712118259817657,High
QN0105,Queens,17.49442711981011,0.6223753093189037,0.025857695908870344,0.7110882571114107,High
QN0151,Queens,17.417323785268906,0.6223753093189037,0.0,0.7046841396026519,High
QN0161,Queens,17.439336659910843,0.6223753093189037,0.12047364858674581,0.6318996298405208,Moderate
QN0171,Queens,17.397191781015753,0.6223753093189037,0.006122424086281146,0.6945182914797957,High
QN0191,Queens,17.47328690158295,0.6223753093189037,0.010044809856462169,0.7150875822807216,High
